"iD_ESTADO","ID_DISTRITO_FEDERAL","LISTA_NOMINAL","PAN","PRI","PRD","PVEM","PT","MC","PANAL","MORENA","PES","PAN_PRD_MC","PAN_PRD","PAN_MC","PRD_MC","PRI_PVEM_PANAL","PRI_PVEM","PRI_PANAL","PVEM_PANAL","PT_MORENA_PES","PT_MORENA","PT_PES","MORENA_PES","CNR","NULOS","RAC","JAMK","AMLO","JHRC","NO_PART_CIUD"
1,1,501,0.145708582834331,0.167664670658683,0.00598802395209581,0.00798403193612774,0.0199600798403194,0.00798403193612774,0.00399201596806387,0.101796407185629,0.00998003992015968,0,0.00199600798403194,0,0,0.00199600798403194,0.00199600798403194,0,0,0.00199600798403194,0,0,0,0,0.0139720558882236,0.161676646706587,0.183632734530938,0.13373253493014,0.0339321357285429,0.473053892215569
1,1,397,0.19647355163728,0.138539042821159,0,0.0151133501259446,0.0226700251889169,0.00755667506297229,0.0151133501259446,0.17632241813602,0.00755667506297229,0.00251889168765743,0,0,0,0,0.00251889168765743,0,0,0.00251889168765743,0,0,0,0,0.0201511335012594,0.206549118387909,0.171284634760705,0.209068010075567,0.0302267002518892,0.36272040302267
1,1,515,0.149514563106796,0.194174757281553,0.00388349514563107,0.0271844660194175,0.0310679611650485,0.00194174757281553,0.00194174757281553,0.087378640776699,0.0058252427184466,0.00194174757281553,0,0,0,0,0.00776699029126214,0,0,0.0058252427184466,0,0,0.00194174757281553,0.00194174757281553,0.0271844660194175,0.157281553398058,0.231067961165049,0.132038834951456,0.0252427184466019,0.425242718446602
1,1,703,0.331436699857752,0.0711237553342817,0.00568990042674253,0.00568990042674253,0.0142247510668563,0.00284495021337127,0.00711237553342817,0.16927453769559,0.00284495021337127,0.0113798008534851,0,0,0,0.00284495021337127,0,0.00284495021337127,0,0.00711237553342817,0.0042674253200569,0,0,0,0.00711237553342817,0.351351351351351,0.0896159317211949,0.197724039829303,0.0440967283072546,0.310099573257468
1,1,605,0.140495867768595,0.059504132231405,0.0479338842975207,0.00826446280991736,0.0297520661157025,0.00330578512396694,0.0363636363636364,0.133884297520661,0.0132231404958678,0.00826446280991736,0.00991735537190083,0.00165289256198347,0,0.00165289256198347,0,0.00330578512396694,0,0.00661157024793388,0,0,0.00495867768595041,0,0.0148760330578512,0.211570247933884,0.109090909090909,0.188429752066116,0.0165289256198347,0.459504132231405
1,1,684,0.103801169590643,0.0730994152046784,0.00146198830409357,0.0043859649122807,0.0789473684210526,0.0087719298245614,0.0175438596491228,0.217836257309942,0.0146198830409357,0.0043859649122807,0,0.00146198830409357,0,0.00146198830409357,0.00146198830409357,0,0,0.0043859649122807,0.0087719298245614,0,0.00146198830409357,0,0.0146198830409357,0.119883040935673,0.097953216374269,0.326023391812865,0.0423976608187134,0.399122807017544
1,1,600,0.123333333333333,0.103333333333333,0.005,0.005,0.055,0.0133333333333333,0.00333333333333333,0.15,0.0183333333333333,0.00166666666666667,0,0.00166666666666667,0.00166666666666667,0,0,0,0,0.005,0.00166666666666667,0,0,0,0.0216666666666667,0.146666666666667,0.111666666666667,0.23,0.0333333333333333,0.456666666666667
1,1,662,0.110271903323263,0.114803625377644,0.0105740181268882,0.0483383685800604,0.0181268882175227,0.00453172205438067,0.0151057401812689,0.208459214501511,0.00906344410876133,0.00151057401812689,0.00151057401812689,0.00151057401812689,0,0,0.00453172205438067,0.00151057401812689,0.00151057401812689,0.00302114803625378,0.00302114803625378,0,0.00453172205438067,0,0.0181268882175227,0.129909365558912,0.185800604229607,0.246223564954683,0.0120845921450151,0.40785498489426
1,1,724,0.0980662983425414,0.135359116022099,0.00276243093922652,0.00552486187845304,0.0165745856353591,0.00414364640883978,0.00828729281767956,0.236187845303867,0.00966850828729282,0.00414364640883978,0.00138121546961326,0,0,0.00138121546961326,0,0,0,0.0069060773480663,0.00138121546961326,0,0.00138121546961326,0,0.0234806629834254,0.110497237569061,0.150552486187845,0.272099447513812,0.0331491712707182,0.410220994475138
1,1,723,0.0954356846473029,0.152143845089903,0.004149377593361,0.0138312586445367,0.00829875518672199,0.00138312586445367,0.00691562932226833,0.218533886583679,0.00968188105117566,0.00138312586445367,0.00138312586445367,0,0,0.00138312586445367,0,0,0,0.00691562932226833,0.00276625172890733,0,0.004149377593361,0.00691562932226833,0.0193637621023513,0.103734439834025,0.174273858921162,0.250345781466113,0.04149377593361,0.40387275242047
1,1,431,0.157772621809745,0.120649651972158,0.00696055684454756,0,0.0278422273781903,0.00696055684454756,0.0116009280742459,0.19953596287703,0.00696055684454756,0.00232018561484919,0.00232018561484919,0,0,0.00464037122969838,0,0,0,0.00928074245939675,0,0.00232018561484919,0,0,0.0139211136890951,0.176334106728538,0.136890951276102,0.245939675174014,0.0301624129930394,0.396751740139211
1,2,690,0.218840579710145,0.0739130434782609,0.00434782608695652,0.00434782608695652,0.0217391304347826,0.00434782608695652,0.00289855072463768,0.207246376811594,0.00434782608695652,0.0101449275362319,0,0,0,0.00144927536231884,0,0,0,0.0144927536231884,0.00434782608695652,0,0,0,0.0101449275362319,0.23768115942029,0.0826086956521739,0.252173913043478,0.0579710144927536,0.359420289855072
