"RowNames","lon","lat","elevation","vegetation","exposure","slope","veg9"
"6442",574.16745622159999,704.58749582660005,2034,5,313,15,3
"6443",577.67774872159998,704.58749582660005,1929,15,168,27,6
"6444",581.18804122159997,704.58749582660005,1832,26,220,19,7
"6445",584.69833372159997,704.58749582660005,2169,5,50,20,3
"6446",588.20862622159996,704.58749582660005,1772,15,15,13,6
"6447",591.71891872159995,704.58749582660005,1777,26,341,12,7
"6448",595.22921122160005,704.58749582660005,1898,15,354,20,6
"6449",598.73950372160004,704.58749582660005,1545,15,80,17,6
"6450",602.24979622160004,704.58749582660005,1828,12,230,6,5
"6451",605.76008872160003,704.58749582660005,1918,15,347,11,6
"6452",609.27038122160002,704.58749582660005,2006,26,268,24,7
"6453",612.78067372160001,704.58749582660005,2197,10,29,2,4
"6454",616.2909662216,704.58749582660005,1707,18,115,1,4
"6455",619.80125872159999,704.58749582660005,2073,15,214,2,6
"6456",623.31155122159998,704.58749582660005,2071,15,207,5,6
"6457",626.82184372159998,704.58749582660005,2145,26,207,13,7
"6458",630.33213622159997,704.58749582660005,2146,5,348,19,3
"6459",633.84242872159996,704.58749582660005,1861,26,139,15,7
"6460",637.35272122159995,704.58749582660005,1840,15,204,23,6
"6461",640.86301372160005,704.58749582660005,1629,15,306,16,6
"6462",644.37330622160005,704.58749582660005,1521,26,120,13,7
"6463",647.88359872160004,704.58749582660005,1590,26,137,3,7
"6464",651.39389122160003,704.58749582660005,1397,12,1,6,5
"6465",721.59974122159997,704.58749582660005,1233,40,54,4,9
"6466",725.11003372159996,704.58749582660005,1219,40,-1,0,9
"6467",728.62032622159995,704.58749582660005,1102,3,3,2,1
"6468",732.13061872159994,704.58749582660005,1141,40,323,2,9
"6469",735.64091122160005,704.58749582660005,1120,2,48,5,1
"6470",739.15120372160004,704.58749582660005,960,40,32,21,9
"6471",742.66149622160003,704.58749582660005,792,40,180,0,9
"6472",746.17178872160002,704.58749582660005,740,40,25,10,9
"6473",749.68208122160001,704.58749582660005,848,40,218,5,9
"6474",753.19237372160001,704.58749582660005,861,39,12,13,9
"6475",756.7026662216,704.58749582660005,924,40,355,26,9
"6476",760.21295872159999,704.58749582660005,1098,4,243,15,2
"6477",763.72325122159998,704.58749582660005,846,2,60,18,1
"6478",767.23354372159997,704.58749582660005,789,39,108,1,9
"6479",770.74383622159996,704.58749582660005,853,2,250,1,1
"6480",774.25412872159995,704.58749582660005,1079,39,124,13,9
"6481",777.76442122159995,704.58749582660005,853,39,225,0,9
"6482",479.3895587216,702.04303082659999,1462,26,153,0,7
"6483",482.89985122159999,702.04303082659999,1403,26,191,1,7
"6484",486.41014372159998,702.04303082659999,1307,26,107,17,7
"6485",489.92043622160003,702.04303082659999,1107,26,42,7,7
"6486",493.43072872160002,702.04303082659999,1129,40,37,3,9
"6487",496.94102122160001,702.04303082659999,1036,40,45,0,9
"6488",500.4513137216,702.04303082659999,1035,26,315,0,7
"6489",503.96160622159999,702.04303082659999,1100,26,207,8,7
"6490",507.47189872159998,702.04303082659999,1280,26,-1,0,7
"6491",510.98219122159998,702.04303082659999,1403,26,308,6,7
"6492",514.49248372160002,702.04303082659999,1649,26,316,7,7
"6493",518.00277622160002,702.04303082659999,1557,26,99,26,7
"6494",521.51306872160001,702.04303082659999,1526,26,197,1,7
"6495",525.0233612216,702.04303082659999,1471,12,305,11,5
"6496",528.53365372159999,702.04303082659999,1676,12,112,15,5
"6497",532.04394622159998,702.04303082659999,1571,12,91,14,5
"6498",535.55423872159997,702.04303082659999,1649,15,269,14,6
"6499",539.06453122159996,702.04303082659999,1867,15,297,15,6
"6500",542.57482372159996,702.04303082659999,1523,15,18,0,6
"6501",546.08511622159995,702.04303082659999,1594,12,341,24,5
"6502",549.59540872160005,702.04303082659999,1589,26,105,12,7
"6503",553.10570122160004,702.04303082659999,1503,33,148,14,8
"6504",556.61599372160003,702.04303082659999,1281,26,117,10,7
"6505",560.12628622160003,702.04303082659999,1495,12,7,17,5
"6506",563.63657872160002,702.04303082659999,1510,15,358,14,6
"6507",567.14687122160001,702.04303082659999,1700,12,109,18,5
"6508",570.6571637216,702.04303082659999,1708,26,279,11,7
"6509",574.16745622159999,702.04303082659999,2031,26,265,15,7
"6510",577.67774872159998,702.04303082659999,2196,15,336,1,6
"6511",581.18804122159997,702.04303082659999,1868,26,329,13,7
"6512",584.69833372159997,702.04303082659999,2401,5,69,9,3
"6513",588.20862622159996,702.04303082659999,2123,10,297,23,4
