"","ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON","NOM_LOC"
"70",2,2,1,15,6,5,2017,NA,1,1,36,1,NA,2,2,1,15,NA,1,1,NA,2,33,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"71",2,2,1,15,8,2,2017,NA,1,1,27,1,NA,2,2,1,15,NA,1,1,NA,2,30,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"72",2,2,1,15,22,7,2017,NA,1,1,28,1,8,30,142,7777,1,NA,1,1,NA,2,35,1,8,12,2,1,4,NA,1,1,NA,1,"Ensenada"
"73",2,2,1,15,1,12,2017,NA,1,1,29,1,4,2,2,1,15,NA,1,1,NA,2,36,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"74",2,2,1,15,24,11,2017,NA,1,1,44,1,8,25,18,1,8,NA,1,1,NA,2,46,1,8,25,1,1,14,NA,1,1,NA,1,"Ensenada"
"75",2,2,1,15,15,12,2017,NA,1,1,21,2,NA,33,999,9999,NA,NA,1,1,NA,2,18,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"76",2,2,1,15,6,5,2017,NA,1,1,31,1,NA,2,2,1,15,NA,1,1,NA,2,31,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"77",2,2,1,15,16,6,2017,NA,1,1,26,1,NA,2,2,1,15,NA,1,1,NA,2,29,1,11,7,51,1,7,NA,2,3,NA,1,"Ensenada"
"78",2,2,1,15,17,3,2017,NA,1,1,29,1,NA,2,2,1,15,NA,1,1,NA,2,29,1,2,25,17,26,2,7,1,1,NA,1,"Ensenada"
"79",2,2,1,15,28,2,2017,NA,1,1,39,1,NA,24,5,1,7,NA,1,1,NA,2,47,1,4,2,2,9999,NA,NA,1,1,NA,1,"Ensenada"
"80",2,2,1,15,28,3,2017,NA,1,1,NA,2,NA,2,2,9999,NA,NA,NA,NA,NA,2,NA,1,NA,25,6,1,15,NA,NA,NA,NA,1,"Ensenada"
"81",2,2,1,15,2,12,2017,NA,1,1,30,1,NA,2,2,1,15,NA,1,1,NA,2,29,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"82",2,2,1,15,12,10,2017,NA,1,1,32,1,1,2,2,1,15,NA,1,1,NA,2,29,1,2,2,2,1,15,7,1,1,NA,1,"Ensenada"
"83",2,2,1,15,8,12,2017,NA,1,1,41,1,NA,2,2,1,15,NA,1,1,NA,2,39,1,NA,26,26,9999,NA,NA,1,1,NA,1,"Ensenada"
"84",2,2,1,15,21,9,2017,NA,1,1,31,1,NA,2,2,1,15,NA,1,1,NA,2,27,2,3,35,999,9999,NA,NA,1,1,NA,1,"Ensenada"
"85",2,2,1,15,11,10,2017,NA,1,1,51,1,2,26,42,1,13,7,1,1,NA,2,48,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"86",2,2,1,15,27,7,2017,NA,1,1,27,1,2,26,18,1,14,7,1,1,NA,2,27,1,2,26,18,1,14,7,1,1,NA,1,"Ensenada"
"87",2,2,1,15,23,3,2017,NA,1,1,26,1,NA,2,2,1,15,NA,1,1,NA,2,33,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"88",2,2,1,15,3,2,2017,NA,1,1,45,1,7,2,2,1,15,NA,1,1,NA,2,41,1,3,15,999,9999,NA,NA,1,1,NA,1,"Ensenada"
"89",2,2,1,15,3,2,2017,NA,1,1,46,1,2,9,12,1,15,NA,1,1,NA,2,31,1,2,2,2,1,15,7,1,1,NA,1,"Ensenada"
"90",2,2,1,15,26,10,2017,NA,1,1,24,1,NA,2,2,1,15,NA,1,1,NA,2,22,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"91",2,2,1,15,15,12,2017,NA,1,1,33,1,4,2,2,1,15,NA,1,1,NA,2,36,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"92",2,2,1,15,29,9,2017,NA,1,1,27,1,2,2,2,1,15,7,1,1,NA,2,25,1,2,18,17,9999,NA,7,1,1,NA,1,"Ensenada"
"93",2,2,1,15,29,7,2017,NA,1,1,56,1,2,14,39,1,16,NA,1,1,NA,2,45,1,11,25,1,1,14,NA,2,3,NA,1,"Ensenada"
"94",2,2,1,15,9,12,2017,NA,1,1,39,1,NA,26,18,1,14,NA,1,1,NA,2,45,1,8,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"95",2,2,1,15,21,12,2017,NA,1,1,33,1,NA,2,2,456,4,NA,NA,NA,NA,2,29,1,2,27,17,9999,NA,7,1,1,NA,1,"Ensenada"
