"ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON"
18,20,88,6,7,1,2017,1,1,1,26,1,98,18,20,88,6,9,1,1,2,2,18,1,11,18,20,88,6,9,2,2,9,1
26,30,1,15,22,11,2017,1,1,1,21,1,11,26,30,1,15,7,2,2,9,2,19,1,11,26,30,1,15,6,2,2,9,1
31,91,1,3,24,10,2017,9,1,1,40,1,7,31,30,1,4,9,1,1,9,2,37,1,11,31,91,149,1,9,2,3,9,1
28,32,1,15,2,11,2017,1,1,1,38,2,7,28,32,1,15,4,1,1,1,2,36,2,11,28,32,1,15,1,2,3,9,1
27,12,1,9,27,10,2017,1,1,1,23,1,98,27,4,1,14,6,1,1,2,2,28,1,98,27,12,1,9,6,1,1,2,1
11,17,1,14,20,6,2017,2,1,1,23,1,98,11,17,1,14,4,1,1,1,2,24,1,11,11,17,1,14,5,2,3,9,1
10,1,1,6,23,2,2017,1,1,1,38,1,9,10,1,1,6,9,1,1,1,2,26,1,11,10,1,60,1,9,2,3,9,1
15,20,1,14,27,7,2017,1,1,1,33,1,8,15,20,1,14,5,1,1,2,2,33,1,11,15,20,1,14,5,2,3,9,1
5,17,1,11,25,11,2017,1,1,1,19,1,98,5,17,7777,1,9,1,1,9,2,20,1,98,5,17,36,1,9,1,1,9,1
32,54,1,4,5,9,2017,1,1,1,23,1,9,32,54,29,2,5,1,1,3,2,26,1,11,32,54,29,2,5,2,3,9,1
12,73,11,2,26,8,2017,1,1,1,24,1,6,12,50,1,8,6,1,1,2,2,19,1,11,12,73,7777,1,6,2,3,9,1
30,141,1,11,7,7,2017,1,1,1,43,1,8,30,141,269,1,5,1,1,2,2,30,1,11,30,141,269,1,5,2,3,9,1
11,3,1,11,23,6,2017,2,1,1,27,1,4,11,3,1,11,4,1,1,4,2,19,1,11,11,3,1,11,5,2,3,9,1
15,58,1,16,9,2,2017,2,1,1,26,1,98,15,58,1,16,6,1,1,2,2,35,1,4,9,6,1,14,5,1,1,2,1
16,98,1,5,27,5,2017,2,1,1,49,1,98,16,98,44,1,5,1,1,2,2,38,1,11,16,98,44,1,5,2,3,9,1
12,34,47,4,23,2,2017,1,1,1,25,1,2,12,34,47,4,7,1,1,4,2,19,1,11,12,34,47,4,6,2,3,9,1
7,87,1,6,26,4,2017,1,1,1,28,1,6,7,87,7777,1,4,1,1,3,2,21,1,11,7,87,7777,1,4,2,3,9,1
15,120,46,7,8,12,2017,1,1,1,30,1,2,15,120,1,11,7,1,1,2,2,24,1,2,15,120,1,11,7,1,1,2,1
7,107,166,6,18,10,2017,1,1,1,39,1,98,7,101,1,15,9,1,1,2,2,29,1,11,7,101,1,15,9,2,3,9,1
30,123,1,10,8,2,2017,1,1,1,19,1,8,30,123,22,3,6,1,1,1,2,19,1,11,30,123,1,10,6,2,3,9,1
5,30,1,15,21,1,2017,2,1,1,25,1,8,5,30,1,15,6,1,1,1,2,21,1,11,5,30,1,15,7,2,3,9,1
2,4,1,16,28,1,2017,9,1,1,36,1,98,28,41,1,14,5,1,1,2,2,35,1,98,30,87,1,14,6,1,1,2,1
15,13,1,14,12,2,2017,1,1,1,20,1,98,15,13,1,14,5,1,1,2,2,21,1,11,15,13,1,14,5,2,3,9,1
7,27,1,10,28,2,2017,1,1,1,31,1,2,7,97,1,9,7,1,1,2,2,23,1,2,7,27,1,10,7,1,1,2,1
2,4,1,16,14,2,2017,9,1,1,24,1,7,17,24,1,6,5,1,1,2,2,21,1,98,2,4,1,16,5,1,1,2,1
11,44,1,8,13,12,2017,2,1,1,21,1,7,11,44,1,8,5,1,1,1,2,20,1,7,11,44,1,8,6,1,1,1,1
14,39,1,16,8,7,2017,1,1,1,35,1,2,14,39,1,16,7,1,1,2,2,32,1,2,14,39,1,16,7,1,1,2,1
29,33,1,6,28,7,2017,1,1,1,28,1,7,29,33,1,6,7,1,1,6,2,26,1,98,29,31,10,4,7,1,1,2,1
30,160,1,8,8,2,2017,1,1,1,28,1,5,30,160,7777,1,5,1,1,2,2,27,1,11,30,160,7777,1,5,2,3,9,1
20,570,1,6,21,7,2017,1,1,1,18,1,6,20,570,1,6,5,1,1,3,2,18,1,11,20,123,1,2,5,2,3,9,1
28,33,1,12,28,7,2017,1,1,1,29,1,98,28,33,1,12,7,1,1,2,2,25,1,11,28,33,1,12,6,2,3,9,1
23,5,1,15,10,10,2017,9,1,1,32,2,2,35,999,9999,99,7,1,1,2,2,28,2,11,35,999,9999,99,6,2,3,9,1
11,17,1,14,21,6,2017,2,1,1,27,1,5,11,17,1,14,9,1,1,9,2,21,1,2,11,17,1,14,9,1,1,9,1
11,14,1,11,17,4,2017,2,1,1,28,1,7,11,14,7777,1,5,1,1,4,2,25,1,11,11,14,7,1,6,2,3,9,1
11,3,128,1,25,9,2017,2,1,1,25,1,8,11,3,7777,1,5,1,1,2,2,24,1,11,11,3,7777,1,5,2,3,9,1
10,5,1,15,27,5,2017,1,1,1,23,1,4,10,5,1,15,9,1,1,2,2,33,1,4,10,5,1,15,9,1,1,2,1
21,197,1,9,14,12,2017,1,1,1,27,1,11,21,197,1,9,6,2,2,9,2,20,1,11,21,114,1,16,7,2,2,9,1
9,12,1,15,18,1,2017,1,1,1,28,1,98,9,12,1,15,5,1,1,2,2,36,1,98,9,12,1,15,5,1,1,2,1
15,58,1,16,11,7,2017,1,1,1,34,1,98,9,5,1,16,6,1,1,2,2,24,1,11,9,5,1,16,6,2,3,9,1
22,14,1,15,25,11,2017,2,1,1,27,1,98,22,14,1,15,6,1,1,2,2,24,1,98,22,8,1,2,6,1,1,2,1
27,13,88,6,20,10,2017,1,1,1,32,1,98,27,4,1,14,6,1,1,2,2,21,1,11,27,4,1,14,6,2,3,9,1
7,81,1,6,28,2,2017,1,1,1,28,1,6,7,81,7777,1,5,1,1,3,2,19,1,11,7,81,43,1,5,2,3,9,1
14,39,1,16,18,1,2017,2,1,1,28,1,98,14,39,1,16,7,1,1,2,2,35,1,98,14,39,1,16,7,1,1,2,1
6,10,1,13,8,6,2017,9,2,2,25,1,2,16,108,1,13,7,1,1,2,2,28,1,1,6,2,1,13,6,1,1,9,3
32,20,1,10,1,12,2017,1,1,1,45,1,7,32,20,1,10,4,1,1,1,2,47,1,11,32,20,1,10,5,2,3,9,1
21,1,1,8,15,10,2017,1,1,1,24,1,7,21,1,1,8,7,1,1,1,2,24,1,11,21,114,1,16,7,2,2,9,1
15,47,20,4,24,11,2017,1,1,1,31,1,98,15,47,5,1,6,1,1,2,2,27,1,3,15,47,14,1,6,1,1,2,1
19,46,1,14,16,4,2017,1,1,1,30,1,99,19,46,1,14,9,9,9,9,2,30,1,99,19,6,1,14,9,9,9,9,1
15,29,1,13,18,2,2017,2,1,1,25,1,4,15,25,1,13,5,1,1,4,2,25,1,98,15,29,1,13,6,1,1,2,1
15,1,1,4,27,10,2017,1,1,1,30,1,7,15,1,57,1,7,1,1,1,2,26,1,98,15,1,16,3,7,1,1,2,1
