ENT_REGIS,MUN_REGIS,LOC_REGIS,TAM_LOC_RE,DIA_REGIS,MES_REGIS,ANIO_REGIS,REGIMEN_MA,GENERO,SEXO_CON1,EDAD_CON1,NACI_CON1,OCUP_CON1,ENTRH_CON1,MUNRH_CON1,LOCRH_CON1,TLORH_CON1,ESCOL_CON1,CONACTCON1,SITLABCON1,POSTRACON1,SEXO_CON2,EDAD_CON2,NACI_CON2,OCUP_CON2,ENTRH_CON2,MUNRH_CON2,LOCRH_CON2,TLORH_CON2,ESCOL_CON2,CONACTCON2,SITLABCON2,POSTRACON2,TIPO_CON
21,178,0001,2,27,8,2017,1,1,1,24,1,7,21,178,0018,1,5,1,1,3,2,24,1,11,21,178,7777,1,5,2,3,9,1
30,168,0001,4,29,11,2017,1,1,1,26,1,6,30,168,9999,99,6,1,1,3,2,18,1,11,30,168,9999,99,5,2,3,9,1
28,032,0001,15,7,11,2017,1,1,1,61,2,2,28,032,0001,15,7,1,1,4,2,46,2,2,28,032,0001,15,7,1,1,4,1
19,026,0001,15,30,9,2017,1,1,1,27,1,98,19,039,0001,16,7,1,1,2,2,26,1,98,19,039,0001,16,7,1,1,2,1
11,009,0001,8,28,6,2017,2,1,1,25,1,2,11,009,0001,8,7,1,1,2,2,23,1,2,11,009,0001,8,7,1,1,2,1
21,164,0019,4,3,2,2017,1,1,1,20,1,98,21,164,0019,4,6,1,1,2,2,24,1,2,21,164,0001,8,7,1,1,2,1
25,018,0355,4,10,8,2017,1,1,1,64,1,11,25,018,0364,1,4,2,4,9,2,67,1,11,25,018,0364,1,4,2,3,9,1
09,016,0001,14,23,2,2017,1,1,1,37,1,5,09,016,0001,14,7,1,1,2,2,24,1,11,09,016,0001,14,6,2,3,9,1
18,020,0088,6,7,1,2017,1,1,1,26,1,98,18,020,0088,6,9,1,1,2,2,18,1,11,18,020,0088,6,9,2,2,9,1
26,030,0001,15,22,11,2017,1,1,1,21,1,11,26,030,0001,15,7,2,2,9,2,19,1,11,26,030,0001,15,6,2,2,9,1
31,091,0001,3,24,10,2017,9,1,1,40,1,7,31,030,0001,4,9,1,1,9,2,37,1,11,31,091,0149,1,9,2,3,9,1
28,032,0001,15,2,11,2017,1,1,1,38,2,7,28,032,0001,15,4,1,1,1,2,36,2,11,28,032,0001,15,1,2,3,9,1
27,012,0001,9,27,10,2017,1,1,1,23,1,98,27,004,0001,14,6,1,1,2,2,28,1,98,27,012,0001,9,6,1,1,2,1
11,017,0001,14,20,6,2017,2,1,1,23,1,98,11,017,0001,14,4,1,1,1,2,24,1,11,11,017,0001,14,5,2,3,9,1
10,001,0001,6,23,2,2017,1,1,1,38,1,9,10,001,0001,6,9,1,1,1,2,26,1,11,10,001,0060,1,9,2,3,9,1
15,020,0001,14,27,7,2017,1,1,1,33,1,8,15,020,0001,14,5,1,1,2,2,33,1,11,15,020,0001,14,5,2,3,9,1
05,017,0001,11,25,11,2017,1,1,1,19,1,98,05,017,7777,1,9,1,1,9,2,20,1,98,05,017,0036,1,9,1,1,9,1
32,054,0001,4,5,9,2017,1,1,1,23,1,9,32,054,0029,2,5,1,1,3,2,26,1,11,32,054,0029,2,5,2,3,9,1
12,073,0011,2,26,8,2017,1,1,1,24,1,6,12,050,0001,8,6,1,1,2,2,19,1,11,12,073,7777,1,6,2,3,9,1
30,141,0001,11,7,7,2017,1,1,1,43,1,8,30,141,0269,1,5,1,1,2,2,30,1,11,30,141,0269,1,5,2,3,9,1
11,003,0001,11,23,6,2017,2,1,1,27,1,4,11,003,0001,11,4,1,1,4,2,19,1,11,11,003,0001,11,5,2,3,9,1
15,058,0001,16,9,2,2017,2,1,1,26,1,98,15,058,0001,16,6,1,1,2,2,35,1,4,09,006,0001,14,5,1,1,2,1
16,098,0001,5,27,5,2017,2,1,1,49,1,98,16,098,0044,1,5,1,1,2,2,38,1,11,16,098,0044,1,5,2,3,9,1
12,034,0047,4,23,2,2017,1,1,1,25,1,2,12,034,0047,4,7,1,1,4,2,19,1,11,12,034,0047,4,6,2,3,9,1
07,087,0001,6,26,4,2017,1,1,1,28,1,6,07,087,7777,1,4,1,1,3,2,21,1,11,07,087,7777,1,4,2,3,9,1
15,120,0046,7,8,12,2017,1,1,1,30,1,2,15,120,0001,11,7,1,1,2,2,24,1,2,15,120,0001,11,7,1,1,2,1
07,107,0166,6,18,10,2017,1,1,1,39,1,98,07,101,0001,15,9,1,1,2,2,29,1,11,07,101,0001,15,9,2,3,9,1
30,123,0001,10,8,2,2017,1,1,1,19,1,8,30,123,0022,3,6,1,1,1,2,19,1,11,30,123,0001,10,6,2,3,9,1
05,030,0001,15,21,1,2017,2,1,1,25,1,8,05,030,0001,15,6,1,1,1,2,21,1,11,05,030,0001,15,7,2,3,9,1
02,004,0001,16,28,1,2017,9,1,1,36,1,98,28,041,0001,14,5,1,1,2,2,35,1,98,30,087,0001,14,6,1,1,2,1
15,013,0001,14,12,2,2017,1,1,1,20,1,98,15,013,0001,14,5,1,1,2,2,21,1,11,15,013,0001,14,5,2,3,9,1
07,027,0001,10,28,2,2017,1,1,1,31,1,2,07,097,0001,9,7,1,1,2,2,23,1,2,07,027,0001,10,7,1,1,2,1
02,004,0001,16,14,2,2017,9,1,1,24,1,7,17,024,0001,6,5,1,1,2,2,21,1,98,02,004,0001,16,5,1,1,2,1
11,044,0001,8,13,12,2017,2,1,1,21,1,7,11,044,0001,8,5,1,1,1,2,20,1,7,11,044,0001,8,6,1,1,1,1
14,039,0001,16,8,7,2017,1,1,1,35,1,2,14,039,0001,16,7,1,1,2,2,32,1,2,14,039,0001,16,7,1,1,2,1
29,033,0001,6,28,7,2017,1,1,1,28,1,7,29,033,0001,6,7,1,1,6,2,26,1,98,29,031,0010,4,7,1,1,2,1
30,160,0001,8,8,2,2017,1,1,1,28,1,5,30,160,7777,1,5,1,1,2,2,27,1,11,30,160,7777,1,5,2,3,9,1
20,570,0001,6,21,7,2017,1,1,1,18,1,6,20,570,0001,6,5,1,1,3,2,18,1,11,20,123,0001,2,5,2,3,9,1
28,033,0001,12,28,7,2017,1,1,1,29,1,98,28,033,0001,12,7,1,1,2,2,25,1,11,28,033,0001,12,6,2,3,9,1
23,005,0001,15,10,10,2017,9,1,1,32,2,2,35,999,9999,99,7,1,1,2,2,28,2,11,35,999,9999,99,6,2,3,9,1
11,017,0001,14,21,6,2017,2,1,1,27,1,5,11,017,0001,14,9,1,1,9,2,21,1,2,11,017,0001,14,9,1,1,9,1
11,014,0001,11,17,4,2017,2,1,1,28,1,7,11,014,7777,1,5,1,1,4,2,25,1,11,11,014,0007,1,6,2,3,9,1
11,003,0128,1,25,9,2017,2,1,1,25,1,8,11,003,7777,1,5,1,1,2,2,24,1,11,11,003,7777,1,5,2,3,9,1
10,005,0001,15,27,5,2017,1,1,1,23,1,4,10,005,0001,15,9,1,1,2,2,33,1,4,10,005,0001,15,9,1,1,2,1
21,197,0001,9,14,12,2017,1,1,1,27,1,11,21,197,0001,9,6,2,2,9,2,20,1,11,21,114,0001,16,7,2,2,9,1
09,012,0001,15,18,1,2017,1,1,1,28,1,98,09,012,0001,15,5,1,1,2,2,36,1,98,09,012,0001,15,5,1,1,2,1
15,058,0001,16,11,7,2017,1,1,1,34,1,98,09,005,0001,16,6,1,1,2,2,24,1,11,09,005,0001,16,6,2,3,9,1
22,014,0001,15,25,11,2017,2,1,1,27,1,98,22,014,0001,15,6,1,1,2,2,24,1,98,22,008,0001,2,6,1,1,2,1
27,013,0088,6,20,10,2017,1,1,1,32,1,98,27,004,0001,14,6,1,1,2,2,21,1,11,27,004,0001,14,6,2,3,9,1
07,081,0001,6,28,2,2017,1,1,1,28,1,6,07,081,7777,1,5,1,1,3,2,19,1,11,07,081,0043,1,5,2,3,9,1
14,039,0001,16,18,1,2017,2,1,1,28,1,98,14,039,0001,16,7,1,1,2,2,35,1,98,14,039,0001,16,7,1,1,2,1
06,010,0001,13,8,6,2017,9,2,2,25,1,2,16,108,0001,13,7,1,1,2,2,28,1,1,06,002,0001,13,6,1,1,9,3
32,020,0001,10,1,12,2017,1,1,1,45,1,7,32,020,0001,10,4,1,1,1,2,47,1,11,32,020,0001,10,5,2,3,9,1
21,001,0001,8,15,10,2017,1,1,1,24,1,7,21,001,0001,8,7,1,1,1,2,24,1,11,21,114,0001,16,7,2,2,9,1
15,047,0020,4,24,11,2017,1,1,1,31,1,98,15,047,0005,1,6,1,1,2,2,27,1,3,15,047,0014,1,6,1,1,2,1
19,046,0001,14,16,4,2017,1,1,1,30,1,99,19,046,0001,14,9,9,9,9,2,30,1,99,19,006,0001,14,9,9,9,9,1
15,029,0001,13,18,2,2017,2,1,1,25,1,4,15,025,0001,13,5,1,1,4,2,25,1,98,15,029,0001,13,6,1,1,2,1
15,001,0001,4,27,10,2017,1,1,1,30,1,7,15,001,0057,1,7,1,1,1,2,26,1,98,15,001,0016,3,7,1,1,2,1
16,053,0001,15,19,5,2017,2,1,1,20,1,4,16,053,0125,1,9,1,1,5,2,19,1,11,16,053,0001,15,9,2,2,9,1
06,002,0001,13,30,11,2017,1,1,1,48,1,2,06,002,0001,13,7,1,1,2,2,36,1,11,06,002,0001,13,5,2,3,9,1
20,156,0001,2,11,7,2017,1,1,1,19,1,6,20,257,0001,1,4,1,1,3,2,21,1,11,20,257,0001,1,4,2,3,9,1
14,018,0001,9,10,2,2017,1,1,1,22,1,8,14,018,0172,1,5,1,1,2,2,21,1,98,14,018,0040,3,6,1,1,2,1
15,070,0001,12,17,10,2017,1,1,1,52,1,98,15,058,0001,16,4,1,1,2,2,41,1,11,15,058,0001,16,5,2,3,9,1
29,018,0001,8,16,12,2017,2,1,1,34,1,98,29,018,0001,8,7,1,1,2,2,26,1,98,29,018,0001,8,6,1,1,2,1
17,007,0001,14,28,2,2017,1,1,1,35,1,98,11,999,9999,99,7,1,1,2,2,31,1,11,17,007,0001,14,5,2,3,9,1
30,087,0001,14,18,8,2017,1,1,1,31,1,98,30,087,0001,14,9,1,1,9,2,28,1,98,30,087,0001,14,9,1,1,9,1
15,099,0001,13,30,1,2017,1,1,1,29,1,7,15,099,0023,1,4,1,1,3,2,37,1,11,15,099,0023,1,5,2,3,9,1
11,014,0001,11,11,9,2017,2,1,1,34,1,2,11,014,0001,11,4,1,1,2,2,29,1,98,11,014,0308,1,6,1,1,2,1
13,028,0001,10,11,4,2017,1,1,1,23,1,98,13,028,7777,2,5,1,1,2,2,21,1,11,13,028,7777,2,5,2,3,9,1
25,015,0040,5,27,12,2017,1,1,1,24,2,98,33,999,9999,99,6,1,1,2,2,24,1,11,25,012,0001,14,5,2,3,9,1
02,004,0001,16,19,8,2017,9,1,1,33,1,7,16,112,0207,1,5,1,1,2,2,28,1,2,02,004,0001,16,6,1,1,2,1
11,007,0109,4,2,6,2017,2,1,1,25,1,98,11,007,0109,4,6,1,1,2,2,26,1,98,11,007,0157,1,5,1,1,2,1
